Module	Section	Sample Name	Source
FastQC	all_sections	20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R1_001_fastqc.zip
FastQC	all_sections	20220526_7_MYBdegron1h_MED1-VHL_r2_MP10066_S184_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_7_MYBdegron1h_MED1-VHL_r2_MP10066_S184_R2_001_fastqc.zip
FastQC	all_sections	20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R1_001_fastqc.zip
FastQC	all_sections	20220526_8_MYBdegron1h_PolII-VHL_r2_MP10066_S185_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_8_MYBdegron1h_PolII-VHL_r2_MP10066_S185_R1_001_fastqc.zip
FastQC	all_sections	20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R2_001_fastqc.zip
FastQC	all_sections	20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R1_001_fastqc.zip
FastQC	all_sections	20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R1_001_fastqc.zip
FastQC	all_sections	20220526_6_MYBdegron1h_MYC-VHL_r2_MP10066_S183_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_6_MYBdegron1h_MYC-VHL_r2_MP10066_S183_R2_001_fastqc.zip
FastQC	all_sections	20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R1_001_fastqc.zip
FastQC	all_sections	20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R2_001_fastqc.zip
FastQC	all_sections	20220526_8_MYBdegron1h_PolII-VHL_r2_MP10066_S185_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_8_MYBdegron1h_PolII-VHL_r2_MP10066_S185_R2_001_fastqc.zip
FastQC	all_sections	20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R2_001_fastqc.zip
FastQC	all_sections	20220526_7_MYBdegron1h_MED1-VHL_r2_MP10066_S184_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_7_MYBdegron1h_MED1-VHL_r2_MP10066_S184_R1_001_fastqc.zip
FastQC	all_sections	20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R2_001_fastqc.zip
FastQC	all_sections	20220526_6_MYBdegron1h_MYC-VHL_r2_MP10066_S183_R1_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_6_MYBdegron1h_MYC-VHL_r2_MP10066_S183_R1_001_fastqc.zip
FastQC	all_sections	20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R2_001	/zfs/cores/mbcfdata/mbcf-seq/TempTransfer/NovaSeq/220526_MP10066_fastq/Reports/20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R2_001_fastqc.zip
